response,trial_index,time_elapsed,participantID,age,gender,language,amE,education,comments,content,qud,prior,utterance,predicate,valence
0.05,1,91894,540,29,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.5,1,18589,380,27,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.9,1,34600,141,62,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
1,1,58076,267,57,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
1,1,65593,434,29,female,English,AmE,some high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.06,1,78311,77,61,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.74,1,55901,626,36,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.37,1,141162,168,36,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.23,1,146936,672,38,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.58,1,72138,847,27,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.86,1,52728,883,52,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.4,1,156266,406,35,female,English,AmE,hold a higher degree,""":""N/A""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.81,1,87937,312,40,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.87,1,32583,329,34,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.93,1,38068,271,58,male,English,AmE,graduated college,""":""I have no reason to doubt Sue.""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
0.19,1,45973,598,53,female,English,AmE,graduated college,""":""I feel badly questioning if an obese person ran 10 miles.  I would believe 5 miles but not at one time.  Someone out of shape might take 20 minutes per mile so I doubt she spent over 3 hours running over 2 days. ""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.22,1,59101,200,31,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.06,1,48678,453,43,male,English,AmE,some college,""":""None at this time.""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.09,1,56526,594,51,male,English,AmE,graduated high school,""":""None""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.62,1,20827,762,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.81,1,37710,29,27,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.27,1,10146,825,25,female,English,AmE,hold a higher degree,""":""NA. Thanks!""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.9,1,28390,327,45,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0,1,79238,23,67,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.74,1,18022,14,29,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.85,1,14883,638,28,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
0.75,1,42027,799,32,female,English,AmE,some college,""":""This study was short and fun. ""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.81,1,24928,231,35,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.5,1,30422,65,47,female,English,AmE,graduated college,""":""nonr""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.76,1,33501,824,35,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.85,1,248707,398,53,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.9,1,81714,866,37,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0,1,32094,5,30,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.02,1,22828,415,57,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
1,1,43652,130,59,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
0.29,1,35173,660,47,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.67,1,54024,695,36,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.78,1,9098,782,48,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.75,1,36594,482,35,female,English,AmE,graduated college,""":""N/A""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
1,1,66609,87,47,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0,1,27750,663,31,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.66,1,2895,460,31,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.38,1,40821,664,38,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.11,1,40939,547,59,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
1,1,47118,318,53,female,English,AmE,graduated college,""":""ty!""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.65,1,38669,878,35,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.8,1,32098,397,37,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.94,1,36464,301,22,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.82,1,22190,775,34,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.21,1,36957,154,57,male,English,AmE,graduated college,""":""NONR""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.87,1,34892,225,42,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.73,1,70773,27,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
1,1,79813,828,52,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.85,1,47801,66,48,male,English,AmE,graduated college,""":""none""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.5,1,26435,535,65,female,English,AmE,graduated college,"""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.39,1,30000,583,34,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.32,1,11248,466,45,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.95,1,32682,550,44,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
1,1,506045,536,30,female,English,AmE,some college,""":""Thanks for having me.""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.54,1,26388,752,41,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.28,1,22425,526,30,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.15,1,92675,357,43,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.32,1,578768,696,50,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.65,1,21105,395,43,male,English,AmE,some college,""":""none""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
1,1,42920,779,41,female,English,AmE,graduated college,""":""None""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.84,1,77138,178,56,female,English,AmE,hold a higher degree,""":""Very interested in what this study is trying to determine.  I had to pause for a moment when I read the paragraph…it said “what the partner said he heard Cole say about Jackson” and then the quote given by the partner started off with “Cole said…” but why wouldn’t Cole just say “I know…” and not use 3rd person….?\nPerhaps I’m overthinking ""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.66,1,83659,477,60,male,English,AmE,graduated college,""":""Thank you""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.3,1,16735,440,31,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.68,1,49985,737,39,female,English,AmE,graduated college,""":""n/a""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.69,1,35885,796,37,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.27,1,34994,43,25,non-binary,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.33,1,34812,273,56,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
1,1,41118,848,54,male,English,AmE,graduated high school,""":""No comment.""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.11,1,36315,542,31,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
1,1,49527,809,33,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.32,1,59128,667,31,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.26,1,53163,113,23,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
1,1,64036,604,60,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.97,1,18140,871,32,male,English,AmE,graduated college," at this time.""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.6,1,63866,38,54,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
1,1,53803,681,49,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.8,1,35861,682,30,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.25,1,31014,328,49,female,English,AmE,graduated college,""":""I think it would be hard for someone obese to run 10 miles and Cole knows the clients. Therefore, he would probably have a good sense of whether or not Jackson could run 10 miles.""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.74,1,47561,692,38,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.36,1,54685,509,67,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.26,1,25724,147,29,male,English,AmE,some college,""":""N/A""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.7,1,72587,622,47,female,English,AmE,graduated high school,""":""none""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.94,1,70147,302,32,male,English,AmE,graduated high school,".""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.9,1,25653,110,25,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.21,1,79043,451,58,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.28,1,35457,213,39,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.44,1,22759,343,50,female,English,AmE,some college,""":""None at this time. Thank you.""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.69,1,18308,401,24,male,English,AmE,graduated college,""":""no""}",Charley speaks Spanish,ai,higher,simple-neg,simple,neg
0.81,1,37103,470,37,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.98,1,49504,716,61,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
0.94,1,29156,503,25,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.3,1,19906,390,49,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.64,1,34894,233,64,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.87,1,69181,652,32,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.96,1,88910,683,50,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.34,1,50975,412,47,male,English,AmE,graduated college,""":""Hard to believe subject ran ten miles.""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
0.92,1,44231,456,26,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.78,1,23397,94,34,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.92,1,51881,242,55,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0,1,208807,764,28,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.87,1,74995,673,66,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
1,1,23841,836,31,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
1,1,55344,287,63,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
0.83,1,49760,556,36,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0,1,10684,721,32,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0,1,69316,338,35,male,English,AmE,some college,""":""None.""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.28,1,18430,18,34,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.84,1,32351,633,43,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.7,1,72754,593,46,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,think-pos,think,pos
0.1,1,52043,532,43,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.94,1,24568,645,43,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
0,1,458145,534,37,male,English,AmE,graduated college,""":""None""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
0.87,1,15798,493,33,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.23,1,84221,331,30,male,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,think-neg,think,neg
0.67,1,94651,352,63,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0,1,97129,666,49,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.95,1,344763,350,68,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.55,1,70522,56,36,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.58,1,157994,621,52,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
0.67,1,195572,218,29,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.85,1,50142,296,46,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.03,1,59334,579,68,male,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,ai,lower,simple-neg,simple,neg
0.51,1,42653,573,38,male,English,AmE,some college,""":""N/A""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.84,1,141233,864,60,male,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.98,1,128228,856,27,male,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
0.96,1,49376,48,68,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.9,1,31330,362,36,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.69,1,37073,201,39,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-pos,think,pos
0.13,1,34038,676,28,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.83,1,33242,508,31,male,English,AmE,graduated college,".""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0,1,117172,60,42,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.24,1,32295,35,26,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,simple-pos,simple,pos
1,1,79355,689,55,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
1,1,93893,58,29,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.93,1,47773,587,48,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
1,1,25226,661,41,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,simple-pos,simple,pos
1,1,17041,778,47,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-pos,know,pos
1,1,31495,833,33,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
0.36,1,31178,545,39,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
1,1,28098,127,60,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.35,1,67293,770,36,female,English,AmE,graduated college,""":""nothing to add""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
1,1,30661,420,51,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.5,1,1204510,268,64,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.76,1,24627,877,27,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.08,1,38690,375,23,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.15,1,28952,189,40,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.31,1,58628,706,43,female,English,AmE,graduated high school,""":""I liked this survey. ""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.87,1,57759,649,68,male,English,AmE,hold a higher degree,"""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.86,1,32034,76,63,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0.29,1,48677,80,35,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.24,1,108855,161,31,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
1,1,52510,4,49,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
1,1,29057,428,32,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.11,1,53267,759,53,female,English,AmE,some college,""":""I wonder what you're studying""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
0.83,1,81114,298,52,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.59,1,30761,750,30,non-binary,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.63,1,40819,488,34,female,English,AmE,graduated high school,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
1,1,21337,492,21,female,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
0.43,1,32293,364,31,female,English,AmE,some high school,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.61,1,14982,101,38,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.28,1,34688,142,26,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,think-pos,think,pos
0,1,57393,39,46,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
1,1,134950,374,49,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
1,1,35213,413,56,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.5,1,91515,118,58,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.57,1,38288,46,65,female,English,AmE,some college,""":""none""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.72,1,19079,392,34,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.06,1,62799,730,36,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.14,1,27370,592,38,female,English,AmE,some college,""":""""}",Jackson ran ten miles,nai,lower,think-pos,think,pos
0.21,1,68033,99,62,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
0.64,1,26927,220,37,male,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.67,1,32461,763,42,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
1,1,31444,315,46,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-neg,know,neg
0.86,1,30860,422,40,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-neg,simple,neg
1,1,54788,754,52,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.5,1,203654,145,31,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.89,1,23605,313,38,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.89,1,64057,228,49,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.37,1,34001,155,34,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
1,1,64106,880,53,female,English,AmE,graduated high school,""":""Thank you""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.54,1,45449,714,41,female,English,AmE,some college,""":""none""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
0.94,1,37215,538,73,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.08,1,41548,132,55,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
1,1,134464,300,27,female,English,AmE,graduated college,""":""Kind of confusing""}",Charley speaks Spanish,ai,lower,know-neg,know,neg
0.16,1,65646,806,76,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0,1,40683,740,65,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,ai,lower,think-neg,think,neg
0.71,1,20561,520,62,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,higher,think-neg,think,neg
0.92,1,51805,162,82,male,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.82,1,38589,269,36,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,simple-pos,simple,pos
0,1,48999,496,30,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
1,1,30056,454,69,male,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0.92,1,74055,115,31,female,English,AmE,some college,""":""none""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
1,1,18076,757,32,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.23,1,29535,97,46,male,English,AmE,graduated college,""":""none""}",Jackson ran ten miles,nai,lower,think-neg,think,neg
0.86,1,80342,196,41,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.79,1,181997,588,26,female,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,know-neg,know,neg
0.74,1,65141,734,62,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,higher,know-neg,know,neg
0.74,1,51643,62,33,non-binary,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,think-pos,think,pos
0.96,1,24992,589,52,female,English,AmE,graduated college,""":""None""}",Charley speaks Spanish,nai,higher,know-pos,know,pos
0.06,1,70438,71,48,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
0.24,1,36758,561,26,non-binary,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
1,1,34027,697,54,male,English,AmE,graduated college,""":""No""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.93,1,35172,100,22,male,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,know-pos,know,pos
0.49,1,18134,53,37,female,English,AmE,some college,""":""""}",Charley speaks Spanish,ai,higher,think-neg,think,neg
0.67,1,46540,546,38,male,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,know-neg,know,neg
0.39,1,30956,710,34,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,higher,think-neg,think,neg
0.27,1,30013,40,38,male,English,AmE,hold a higher degree,""":""""}",Charley speaks Spanish,nai,lower,think-pos,think,pos
0.81,1,65146,687,54,female,English,AmE,graduated college,""":""""}",Jackson ran ten miles,ai,higher,know-pos,know,pos
1,1,72229,131,69,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,nai,higher,know-neg,know,neg
1,1,23333,146,45,female,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,know-pos,know,pos
0.7,1,30383,216,65,female,English,AmE,some college,""":""""}",Charley speaks Spanish,nai,lower,think-neg,think,neg
1,1,281630,387,40,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,higher,know-neg,know,neg
0.95,1,41512,124,49,female,English,AmE,graduated high school,""":""""}",Charley speaks Spanish,nai,higher,think-pos,think,pos
0.12,1,43952,159,37,male,English,AmE,some college,""":""""}",Jackson ran ten miles,ai,lower,know-pos,know,pos
0,1,58975,316,44,male,English,AmE,hold a higher degree,""":""Thank you for including me in your research.""}",Jackson ran ten miles,ai,lower,know-neg,know,neg
0,1,28501,151,24,female,English,AmE,graduated college,""":""I wonder if it's about internal biases. ""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
1,1,30199,425,58,female,English,AmE,hold a higher degree,""":""""}",Jackson ran ten miles,ai,lower,simple-pos,simple,pos
0.14,1,35755,257,38,male,English,AmE,some college,""":""I was relying solely on the fact that my assistant knows more about their activities than I do, so I assume I would be able to trust Cole's judgment. I noticed that one of the facts presented is that the person is obese, which I did NOT take in to consideration of whether that person actually ran 10 miles, but it was in the back of my mind due to it being called out for a reason.""}",Jackson ran ten miles,ai,lower,think-neg,think,neg
0.81,1,127442,148,38,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,ai,lower,simple-neg,simple,neg
1,1,58376,686,59,female,English,AmE,graduated college,"""}",Jackson ran ten miles,nai,higher,think-pos,think,pos
0.94,1,50450,74,33,male,English,AmE,graduated college,""":""""}",Charley speaks Spanish,nai,lower,know-pos,know,pos
0.83,1,13690,521,35,male,English,AmE,graduated college,""":""""}",Jackson ran ten miles,nai,lower,know-pos,know,pos
